,id,album_id,album_name,duration_ms,popularity,track_name,artists,msPlayed,endTime,release_date,genres
58,0oufSLnKQDoBFX5mgkDCgR,03nFfkhtHqQZZqprep3G6r,Lost,158420,79,Trust,['Brent Faiyaz'],138346,2023-01-06 10:20,2018-10-19,[]
59,695BxK7VbbK6M4CRvtR5Sn,03ATVAe2XY1b6rZ7OGbMhw,Although,180635,59,Although,['Jane Avril'],171702,2023-01-06 10:23,2022-03-18,[]
60,13efPu5TlBN9X9oOo9ItBv,6plr80ML2wuePhF4AqR2bQ,Stardust,175844,59,Stardust,"['MrHeadA$$Trendy', 'Limbo']",242971,2023-01-06 10:27,2019-12-11,[]
61,0PQK5efczMVIIjScPRZYH5,14IZ6aHadzsKrNMnntwLb0,skeletons,171520,60,atlas,['keshi'],125404,2023-01-06 10:29,2019-07-16,[]
62,6zB9GWgc3mjxnqGgHAwvpU,4j3t73htSViFibVCVBpLr5,Different To Our Daily Lives,146960,57,Different To Our Daily Lives,['Justus Rümenapp'],138858,2023-01-06 10:32,2022-04-15,[]
63,4FpFfqoAlmkykj4E7nIhsZ,3OnOWPTEYMqhOn7SnFoyBO,Incandescence,117516,42,Incandescence,['Rebecca Leonard'],114956,2023-01-06 10:34,2020-01-07,[]
64,0acEauszFAvCGw9cNF0kZM,33iYingDDSa1X0iPiotQT8,Frozen Lakes,166890,53,Frozen Lakes,['Imber Sun'],117475,2023-01-06 10:36,2022-12-02,[]
65,7McExzjmhDI5NQ6l4D9XR9,6TsyjKCVz1FlcjwglzzbT9,Dismantle,135668,58,Remove The Complexities,['Peter Sandberg'],131751,2023-01-06 10:38,2016-06-17,[]
66,7inwDSpJOVDN9kUsi7JtqX,1x6OZLfOt7xNDGVU9Azcs7,The Door into Summer,182500,57,The Door into Summer,['Nora De Smet'],174139,2023-01-06 10:41,2022-04-01,[]
67,2POquMHNneRC4HApAiV2QA,5YgaRDfpuLueyi5hqncqLt,"Folsom Field, Boulder, CO 7/14/18 (Live)",795186,33,"Franklin's Tower - Live at Folsom Field, Boulder, CO, 7/14/2018",['Dead & Company'],198606,2023-01-06 10:44,2018-07-14,[]
