,Unnamed: 0,id,album_id,album_name,duration_ms_x,popularity,track_name,artists,msPlayed,endTime,release_date,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms_y,time_signature
20,104,025aQi6Ffw676y8m4zLPk7,30HSC1ogeWpwBZXroMTTDW,To the Rain,145620.0,59.0,To the Rain,['Anna Landström'],141955.0,2023-01-06 16:18,2022-05-20,[],0.464,0.0639,4,-26.028,0,0.0385,0.992,0.927,0.0829,0.317,111.993,audio_features,spotify:track:025aQi6Ffw676y8m4zLPk7,https://api.spotify.com/v1/tracks/025aQi6Ffw676y8m4zLPk7,https://api.spotify.com/v1/audio-analysis/025aQi6Ffw676y8m4zLPk7,145621,4
21,255,025aQi6Ffw676y8m4zLPk7,30HSC1ogeWpwBZXroMTTDW,To the Rain,145620.0,59.0,To the Rain,['Anna Landström'],124730.0,2023-01-07 18:21,2022-05-20,[],0.464,0.0639,4,-26.028,0,0.0385,0.992,0.927,0.0829,0.317,111.993,audio_features,spotify:track:025aQi6Ffw676y8m4zLPk7,https://api.spotify.com/v1/tracks/025aQi6Ffw676y8m4zLPk7,https://api.spotify.com/v1/audio-analysis/025aQi6Ffw676y8m4zLPk7,145621,4
22,255,025aQi6Ffw676y8m4zLPk7,30HSC1ogeWpwBZXroMTTDW,To the Rain,145620.0,59.0,To the Rain,['Anna Landström'],124730.0,2023-01-07 18:21,2022-05-20,[],0.464,0.0639,4,-26.028,0,0.0385,0.992,0.927,0.0829,0.317,111.993,audio_features,spotify:track:025aQi6Ffw676y8m4zLPk7,https://api.spotify.com/v1/tracks/025aQi6Ffw676y8m4zLPk7,https://api.spotify.com/v1/audio-analysis/025aQi6Ffw676y8m4zLPk7,145621,4
23,255,025aQi6Ffw676y8m4zLPk7,30HSC1ogeWpwBZXroMTTDW,To the Rain,145620.0,59.0,To the Rain,['Anna Landström'],124730.0,2023-01-07 18:21,2022-05-20,[],0.464,0.0639,4,-26.028,0,0.0385,0.992,0.927,0.0829,0.317,111.993,audio_features,spotify:track:025aQi6Ffw676y8m4zLPk7,https://api.spotify.com/v1/tracks/025aQi6Ffw676y8m4zLPk7,https://api.spotify.com/v1/audio-analysis/025aQi6Ffw676y8m4zLPk7,145621,4
24,255,025aQi6Ffw676y8m4zLPk7,30HSC1ogeWpwBZXroMTTDW,To the Rain,145620.0,59.0,To the Rain,['Anna Landström'],124730.0,2023-01-07 18:21,2022-05-20,[],0.464,0.0639,4,-26.028,0,0.0385,0.992,0.927,0.0829,0.317,111.993,audio_features,spotify:track:025aQi6Ffw676y8m4zLPk7,https://api.spotify.com/v1/tracks/025aQi6Ffw676y8m4zLPk7,https://api.spotify.com/v1/audio-analysis/025aQi6Ffw676y8m4zLPk7,145621,4
25,255,025aQi6Ffw676y8m4zLPk7,30HSC1ogeWpwBZXroMTTDW,To the Rain,145620.0,59.0,To the Rain,['Anna Landström'],124730.0,2023-01-07 18:21,2022-05-20,[],0.464,0.0639,4,-26.028,0,0.0385,0.992,0.927,0.0829,0.317,111.993,audio_features,spotify:track:025aQi6Ffw676y8m4zLPk7,https://api.spotify.com/v1/tracks/025aQi6Ffw676y8m4zLPk7,https://api.spotify.com/v1/audio-analysis/025aQi6Ffw676y8m4zLPk7,145621,4
26,255,025aQi6Ffw676y8m4zLPk7,30HSC1ogeWpwBZXroMTTDW,To the Rain,145620.0,59.0,To the Rain,['Anna Landström'],124730.0,2023-01-07 18:21,2022-05-20,[],0.464,0.0639,4,-26.028,0,0.0385,0.992,0.927,0.0829,0.317,111.993,audio_features,spotify:track:025aQi6Ffw676y8m4zLPk7,https://api.spotify.com/v1/tracks/025aQi6Ffw676y8m4zLPk7,https://api.spotify.com/v1/audio-analysis/025aQi6Ffw676y8m4zLPk7,145621,4
27,255,025aQi6Ffw676y8m4zLPk7,30HSC1ogeWpwBZXroMTTDW,To the Rain,145620.0,59.0,To the Rain,['Anna Landström'],124730.0,2023-01-07 18:21,2022-05-20,[],0.464,0.0639,4,-26.028,0,0.0385,0.992,0.927,0.0829,0.317,111.993,audio_features,spotify:track:025aQi6Ffw676y8m4zLPk7,https://api.spotify.com/v1/tracks/025aQi6Ffw676y8m4zLPk7,https://api.spotify.com/v1/audio-analysis/025aQi6Ffw676y8m4zLPk7,145621,4
28,257,025aQi6Ffw676y8m4zLPk7,30HSC1ogeWpwBZXroMTTDW,To the Rain,145620.0,59.0,To the Rain,['Anna Landström'],141974.0,2023-01-07 18:26,2022-05-20,[],0.464,0.0639,4,-26.028,0,0.0385,0.992,0.927,0.0829,0.317,111.993,audio_features,spotify:track:025aQi6Ffw676y8m4zLPk7,https://api.spotify.com/v1/tracks/025aQi6Ffw676y8m4zLPk7,https://api.spotify.com/v1/audio-analysis/025aQi6Ffw676y8m4zLPk7,145621,4
29,257,025aQi6Ffw676y8m4zLPk7,30HSC1ogeWpwBZXroMTTDW,To the Rain,145620.0,59.0,To the Rain,['Anna Landström'],141974.0,2023-01-07 18:26,2022-05-20,[],0.464,0.0639,4,-26.028,0,0.0385,0.992,0.927,0.0829,0.317,111.993,audio_features,spotify:track:025aQi6Ffw676y8m4zLPk7,https://api.spotify.com/v1/tracks/025aQi6Ffw676y8m4zLPk7,https://api.spotify.com/v1/audio-analysis/025aQi6Ffw676y8m4zLPk7,145621,4
